Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Categorize Mental Fatigue,Categorize Designation,Categorize Resource Allocation,days_count
0,0,1,0.0,0.0,0.0,0.0,0,0,0,4979
1,1,1,0.4,0.4444444444444444,0.51,0.46,2,1,1,4964
0,0,1,0.2,0.1111111111111111,0.44000000000000006,0.3,1,0,0,5030
1,0,0,0.8,0.5555555555555556,0.6900000000000001,0.63,3,2,1,4956
1,1,0,0.4,0.4444444444444444,0.53,0.45,2,1,1,5062
1,1,1,0.6,0.5555555555555556,0.6,0.58,2,1,1,5014
0,0,0,0.8,0.6666666666666666,0.86,0.67,4,2,2,5253
0,1,0,0.4,0.4444444444444444,0.73,0.71,4,1,1,5179
1,1,1,0.2,0.2222222222222222,0.55,0.48,2,0,0,5154
0,1,1,0.2,0.2222222222222222,0.29,0.22,0,0,0,5117
1,0,0,0.6,0.5555555555555556,0.51,0.43,2,1,1,5096
0,1,0,0.4,0.4444444444444444,0.64,0.57,3,1,1,5212
1,1,1,0.6,0.3333333333333333,0.61,0.47,3,1,1,4956
1,1,1,0.6,0.4444444444444444,0.53,0.47,2,1,1,5096
1,0,1,0.2,0.3333333333333333,0.55,0.34,2,0,1,4972
1,1,1,0.2,0.2222222222222222,0.55,0.37,2,0,0,4975
1,1,0,0.6,0.6666666666666666,0.78,0.8,4,1,2,4989
0,0,0,0.8,0.7777777777777778,0.89,0.8,4,2,2,5106
1,1,1,0.2,0.3333333333333333,0.6900000000000001,0.49,3,0,1,5054
0,1,1,0.0,0.0,0.0,0.0,0,0,0,5037
0,1,1,0.8,0.8888888888888888,0.93,0.86,4,2,2,4980
1,1,1,0.2,0.1111111111111111,0.45999999999999996,0.33,1,0,0,5185
1,1,1,0.6,0.5555555555555556,0.5700000000000001,0.5,2,1,1,5093
1,1,1,0.4,0.3333333333333333,0.45,0.34,1,1,1,4962
0,0,1,0.0,0.1111111111111111,0.47000000000000003,0.23,1,0,0,5206
0,0,0,0.8,0.7777777777777778,0.99,0.92,4,2,2,5224
1,1,1,0.6,0.5555555555555556,0.63,0.44,3,1,1,5119
1,1,1,0.2,0.2222222222222222,0.36,0.15,0,0,0,4995
1,1,1,0.0,0.1111111111111111,0.43,0.32,1,0,0,5191
1,1,1,0.6,0.3333333333333333,0.65,0.43,3,1,1,5045
0,1,0,0.8,0.8888888888888888,0.8699999999999999,0.78,4,2,2,5241
0,1,1,0.0,0.0,0.31,0.23,0,0,0,5195
0,1,1,0.4,0.3333333333333333,0.36,0.21,0,1,1,5064
0,1,1,0.2,0.1111111111111111,0.36,0.23,0,0,0,5031
1,0,1,0.6,0.4444444444444444,0.5700000000000001,0.4,2,1,1,4950
1,1,1,0.4,0.4444444444444444,0.5700000000000001,0.38,2,1,1,4930
1,1,0,0.0,0.0,0.05,0.0,0,0,0,5152
1,0,0,0.4,0.3333333333333333,0.39,0.33,0,1,1,4919
1,0,0,0.4,0.4444444444444444,0.7,0.62,3,1,1,4917
0,1,1,0.6,0.3333333333333333,0.54,0.36,2,1,1,5092
1,1,1,0.4,0.2222222222222222,0.37,0.28,0,1,0,5103
1,1,1,0.4,0.3333333333333333,0.61,0.41,3,1,1,5006
0,1,1,0.0,0.0,0.27999999999999997,0.1,0,0,0,5223
1,1,0,0.4,0.3333333333333333,0.6900000000000001,0.63,3,1,1,4953
0,1,1,0.6,0.6666666666666666,0.73,0.67,4,1,2,5231
0,1,0,0.6,0.6666666666666666,0.72,0.62,4,1,2,5154
0,1,1,0.4,0.6666666666666666,0.9,0.77,4,1,2,5164
1,1,0,0.0,0.0,0.0,0.0,0,0,0,5071
0,0,1,0.4,0.5555555555555556,0.5599999999999999,0.51,2,1,1,4905
1,1,1,0.4,0.3333333333333333,0.6799999999999999,0.61,3,1,1,4896
1,1,1,0.2,0.2222222222222222,0.51,0.41,2,0,0,5217
1,1,1,0.6,0.4444444444444444,0.6,0.53,2,1,1,5069
1,1,1,0.2,0.2222222222222222,0.6799999999999999,0.5,3,0,0,4908
0,0,1,0.4,0.4444444444444444,0.65,0.55,3,1,1,4937
0,1,1,0.8,0.5555555555555556,0.5700000000000001,0.49,2,2,1,5064
0,0,1,0.6,0.4444444444444444,0.61,0.44,3,1,1,4966
0,1,1,0.6,0.6666666666666666,0.8800000000000001,0.7,4,1,2,5252
1,1,1,0.2,0.1111111111111111,0.6799999999999999,0.48,3,0,0,4964
0,1,0,0.4,0.4444444444444444,0.6799999999999999,0.6,3,1,1,5240
0,0,1,0.4,0.3333333333333333,0.55,0.48,2,1,1,5002
1,1,1,0.4,0.2222222222222222,0.45,0.21,1,1,0,4957
1,0,0,0.4,0.1111111111111111,0.26,0.15,0,1,0,5055
0,1,0,1.0,1.0,1.0,0.98,4,2,2,4971
1,1,1,0.2,0.1111111111111111,0.43,0.25,1,0,0,4946
0,0,0,0.6,0.7777777777777778,0.8800000000000001,0.7,4,1,2,5212
1,1,0,0.8,0.6666666666666666,0.72,0.69,4,2,2,5066
0,1,1,0.2,0.2222222222222222,0.44000000000000006,0.33,1,0,0,5013
1,1,0,0.4,0.3333333333333333,0.55,0.44,2,1,1,4920
1,0,0,0.4,0.4444444444444444,0.78,0.57,4,1,1,4898
0,0,1,0.2,0.2222222222222222,0.45,0.27,1,0,0,5130
0,1,0,0.8,0.5555555555555556,0.67,0.67,3,2,1,5034
1,1,0,0.2,0.0,0.33999999999999997,0.25,0,0,0,5233
1,1,0,0.0,0.0,0.36,0.18,0,0,0,5022
1,0,0,0.6,0.6666666666666666,0.79,0.6,4,1,2,5225
1,1,1,0.4,0.4444444444444444,0.53,0.39,2,1,1,4985
1,1,1,0.2,0.2222222222222222,0.53,0.34,2,0,0,4994
1,0,0,0.6,0.5555555555555556,0.55,0.52,2,1,1,4944
1,0,0,0.2,0.2222222222222222,0.54,0.42,2,0,0,5140
0,0,1,0.2,0.0,0.48,0.28,1,0,0,4899
1,0,1,0.4,0.3333333333333333,0.62,0.38,3,1,1,5250
0,0,0,0.8,0.5555555555555556,0.6900000000000001,0.59,3,2,1,5120
1,0,1,0.4,0.4444444444444444,0.8,0.62,4,1,1,5236
0,0,0,0.6,0.6666666666666666,0.8699999999999999,0.76,4,1,2,5001
1,1,0,0.2,0.2222222222222222,0.42000000000000004,0.33,1,0,0,5037
0,1,0,0.4,0.1111111111111111,0.42000000000000004,0.28,1,1,0,4916
1,1,0,0.6,0.5555555555555556,0.72,0.62,4,1,1,5234
1,1,1,0.4,0.3333333333333333,0.52,0.45,2,1,1,4977
0,1,1,0.4,0.1111111111111111,0.32999999999999996,0.24,0,1,0,5001
0,1,0,0.4,0.4444444444444444,0.63,0.53,3,1,1,4988
0,1,1,0.4,0.3333333333333333,0.6799999999999999,0.59,3,1,1,5135
0,0,1,0.6,0.4444444444444444,0.38,0.29,0,1,1,5224
1,0,1,0.2,0.1111111111111111,0.27,0.19,0,0,0,5126
1,1,0,0.8,0.6666666666666666,0.8099999999999999,0.65,4,2,2,5207
1,0,1,0.2,0.0,0.13,0.02,0,0,0,4915
1,1,1,0.4,0.3333333333333333,0.7,0.47,3,1,1,4969
1,1,0,0.4,0.4444444444444444,0.6599999999999999,0.43,3,1,1,4959
1,1,0,0.4,0.4444444444444444,0.79,0.61,4,1,1,4993
1,0,0,0.0,0.1111111111111111,0.47000000000000003,0.33,1,0,0,5040
1,1,0,0.4,0.3333333333333333,0.79,0.6,4,1,1,5135
1,0,0,0.4,0.5555555555555556,0.64,0.52,3,1,1,5196
0,1,1,1.0,0.8888888888888888,0.93,0.93,4,2,2,5138
0,0,0,0.4,0.3333333333333333,0.63,0.47,3,1,1,4904
0,1,0,0.6,0.6666666666666666,0.6900000000000001,0.51,3,1,2,5197
1,1,1,0.2,0.0,0.49000000000000005,0.26,1,0,0,5220
1,0,1,0.6,0.3333333333333333,0.52,0.42,2,1,1,5155
1,1,0,0.4,0.4444444444444444,0.62,0.58,3,1,1,4934
1,1,1,0.2,0.1111111111111111,0.53,0.3,2,0,0,4935
0,0,1,0.6,0.5555555555555556,0.62,0.56,3,1,1,5034
0,0,0,0.4,0.4444444444444444,0.61,0.57,3,1,1,5156
1,1,1,0.4,0.2222222222222222,0.55,0.3,2,1,0,4936
0,1,0,0.8,0.7777777777777778,0.95,0.86,4,2,2,5147
0,0,0,0.4,0.5555555555555556,0.63,0.62,3,1,1,5035
0,1,1,0.6,0.4444444444444444,0.52,0.41,2,1,1,5203
0,1,1,0.2,0.3333333333333333,0.51,0.38,2,0,1,5085
1,1,1,0.4,0.4444444444444444,0.5900000000000001,0.41,2,1,1,5213
1,1,0,0.4,0.4444444444444444,0.58,0.46,2,1,1,5055
1,1,0,0.4,0.3333333333333333,0.5900000000000001,0.44,2,1,1,5115
1,0,0,0.2,0.0,0.32,0.24,0,0,0,5031
1,1,1,0.4,0.3333333333333333,0.61,0.39,3,1,1,5204
1,1,0,0.4,0.3333333333333333,0.75,0.53,4,1,1,5214
1,1,0,0.4,0.1111111111111111,0.39,0.21,0,1,0,5204
0,1,0,0.8,0.7777777777777778,0.8400000000000001,0.77,4,2,2,4972
1,0,1,0.2,0.1111111111111111,0.6,0.37,2,0,0,4902
0,1,1,0.2,0.2222222222222222,0.49000000000000005,0.38,1,0,0,5185
0,0,1,0.6,0.3333333333333333,0.63,0.47,3,1,1,5100
0,1,0,0.8,0.7777777777777778,0.8,0.69,4,2,2,5015
0,1,0,0.4,0.6666666666666666,0.71,0.72,4,1,2,4938
0,1,0,0.8,0.7777777777777778,0.73,0.73,4,2,2,5081
1,0,0,0.8,0.7777777777777778,0.82,0.72,4,2,2,5127
1,0,0,0.4,0.5555555555555556,0.71,0.58,4,1,1,5012
1,1,1,0.4,0.4444444444444444,0.45,0.38,1,1,1,5193
1,1,1,0.2,0.3333333333333333,0.5,0.36,1,0,1,5176
0,1,0,0.4,0.4444444444444444,0.42000000000000004,0.32,1,1,1,4951
0,0,1,0.2,0.2222222222222222,0.48,0.35,1,0,0,5201
1,1,1,0.8,0.7777777777777778,0.9400000000000001,0.83,4,2,2,4991
0,1,1,0.8,0.6666666666666666,0.79,0.73,4,2,2,4985
0,0,1,0.0,0.1111111111111111,0.21000000000000002,0.15,0,0,0,5205
0,1,1,0.4,0.4444444444444444,0.42000000000000004,0.3,1,1,1,4959
0,1,0,0.2,0.2222222222222222,0.6599999999999999,0.47,3,0,0,5167
1,0,0,0.8,0.5555555555555556,0.71,0.68,4,2,1,5090
0,0,0,1.0,1.0,0.97,0.87,4,2,2,5036
1,0,1,0.2,0.1111111111111111,0.55,0.4,2,0,0,5113
1,1,0,0.2,0.2222222222222222,0.52,0.43,2,0,0,5116
0,0,0,0.8,0.6666666666666666,0.8400000000000001,0.64,4,2,2,5246
0,0,0,0.4,0.2222222222222222,0.33999999999999997,0.26,0,1,0,5040
0,1,0,0.4,0.3333333333333333,0.72,0.59,4,1,1,5209
0,1,0,0.4,0.5555555555555556,0.7,0.52,3,1,1,5002
1,1,0,0.4,0.4444444444444444,0.73,0.56,4,1,1,4989
0,1,0,0.6,0.5555555555555556,0.65,0.56,3,1,1,5101
0,1,0,0.2,0.3333333333333333,0.58,0.53,2,0,1,4908
0,1,0,0.4,0.3333333333333333,0.62,0.4,3,1,1,5243
1,1,0,0.4,0.3333333333333333,0.42000000000000004,0.31,1,1,1,5157
0,1,0,0.2,0.4444444444444444,0.6599999999999999,0.54,3,0,1,5204
0,0,0,0.4,0.5555555555555556,0.75,0.55,4,1,1,5226
0,1,1,0.2,0.1111111111111111,0.38,0.22,0,0,0,5071
1,0,1,0.6,0.4444444444444444,0.5,0.4,1,1,1,5239
0,1,1,0.6,0.5555555555555556,0.79,0.64,4,1,1,5013
0,1,1,0.6,0.4444444444444444,0.65,0.48,3,1,1,4930
1,1,1,0.2,0.2222222222222222,0.52,0.39,2,0,0,4978
1,1,1,0.6,0.4444444444444444,0.5599999999999999,0.4,2,1,1,5072
1,0,1,0.4,0.3333333333333333,0.62,0.49,3,1,1,5164
1,1,0,0.4,0.1111111111111111,0.39,0.29,0,1,0,5093
0,1,1,0.4,0.4444444444444444,0.61,0.41,3,1,1,5104
0,1,1,0.4,0.4444444444444444,0.55,0.37,2,1,1,4942
0,0,0,0.6,0.5555555555555556,0.86,0.68,4,1,1,5020
1,1,1,0.4,0.4444444444444444,0.71,0.58,4,1,1,5139
1,1,0,0.4,0.5555555555555556,0.6900000000000001,0.55,3,1,1,5121
1,0,1,0.4,0.2222222222222222,0.6900000000000001,0.5,3,1,0,5040
0,0,1,0.4,0.2222222222222222,0.63,0.44,3,1,0,4894
0,1,1,0.4,0.2222222222222222,0.5700000000000001,0.37,2,1,0,5088
0,1,0,0.6,0.6666666666666666,0.63,0.62,3,1,2,5229
0,0,0,0.4,0.3333333333333333,0.67,0.57,3,1,1,5125
0,1,1,0.6,0.4444444444444444,0.49000000000000005,0.37,1,1,1,4981
0,1,1,0.2,0.3333333333333333,0.54,0.35,2,0,1,5217
0,1,0,0.8,0.5555555555555556,0.7,0.55,3,2,1,4902
1,1,1,0.4,0.3333333333333333,0.65,0.61,3,1,1,5091
0,0,1,0.4,0.2222222222222222,0.4,0.2,0,1,0,5187
1,0,1,0.0,0.0,0.4,0.2,0,0,0,5141
1,1,1,0.2,0.2222222222222222,0.37,0.17,0,0,0,4994
0,1,0,0.4,0.3333333333333333,0.52,0.47,2,1,1,4909
0,1,0,0.0,0.0,0.27999999999999997,0.12,0,0,0,5005
1,0,0,0.6,0.5555555555555556,0.82,0.65,4,1,1,5149
1,1,1,0.6,0.3333333333333333,0.55,0.42,2,1,1,4974
1,1,0,0.2,0.0,0.36,0.28,0,0,0,5062
0,0,1,0.4,0.4444444444444444,0.6900000000000001,0.67,3,1,1,5069
1,0,0,1.0,0.8888888888888888,0.9400000000000001,0.88,4,2,2,5087
0,1,1,0.2,0.2222222222222222,0.36,0.29,0,0,0,5247
0,1,0,0.4,0.4444444444444444,0.6799999999999999,0.6,3,1,1,4930
0,1,1,0.0,0.0,0.38,0.17,0,0,0,5116
1,0,1,0.2,0.1111111111111111,0.16,0.08,0,0,0,5214
0,1,0,0.4,0.3333333333333333,0.54,0.48,2,1,1,4922
1,1,0,0.4,0.3333333333333333,0.73,0.51,4,1,1,4900
1,1,1,0.0,0.1111111111111111,0.4,0.3,0,0,0,5189
1,1,0,0.4,0.3333333333333333,0.7,0.54,3,1,1,5220
1,1,0,0.8,0.7777777777777778,0.78,0.74,4,2,2,5235
0,1,1,0.2,0.2222222222222222,0.33999999999999997,0.29,0,0,0,5017
0,0,0,0.6,0.5555555555555556,0.74,0.52,4,1,1,5048
1,0,0,0.6,0.5555555555555556,0.6599999999999999,0.46,3,1,1,5078
1,1,0,0.2,0.2222222222222222,0.47000000000000003,0.37,1,0,0,5178
0,1,1,0.2,0.3333333333333333,0.47000000000000003,0.36,1,0,1,5155
0,0,0,0.4,0.4444444444444444,0.49000000000000005,0.39,1,1,1,5248
0,1,0,0.4,0.5555555555555556,0.8699999999999999,0.7,4,1,1,4935
1,0,0,0.4,0.3333333333333333,0.5599999999999999,0.38,2,1,1,4945
0,1,1,1.0,0.8888888888888888,0.9400000000000001,0.88,4,2,2,5026
0,1,1,0.2,0.1111111111111111,0.36,0.22,0,0,0,5047
1,1,0,0.6,0.5555555555555556,0.72,0.63,4,1,1,5006
